caregiver_id,role,domain,skill_name
C001,Software Engineer,Engineering,python
C001,Software Engineer,Engineering,sql
C001,Software Engineer,Engineering,docker
C002,Software Engineer,Engineering,python
C002,Software Engineer,Engineering,kubernetes
C002,Software Engineer,Engineering,react
C003,Software Engineer,Engineering,java
C003,Software Engineer,Engineering,sql
C003,Software Engineer,Engineering,spring boot
C004,Software Engineer,Engineering,python
C004,Software Engineer,Engineering,machine learning
C004,Software Engineer,Engineering,docker
C005,Software Engineer,Engineering,javascript
C005,Software Engineer,Engineering,react
C005,Software Engineer,Engineering,node.js
C006,Data Scientist,Data,python
C006,Data Scientist,Data,machine learning
C006,Data Scientist,Data,sql
C007,Data Scientist,Data,python
C007,Data Scientist,Data,deep learning
C007,Data Scientist,Data,tensorflow
C008,Data Scientist,Data,r
C008,Data Scientist,Data,sql
C008,Data Scientist,Data,machine learning
C009,Product Manager,Product,agile
C009,Product Manager,Product,jira
C009,Product Manager,Product,sql
C010,Product Manager,Product,agile
C010,Product Manager,Product,product analytics
C010,Product Manager,Product,figma
